,ddt,ticker,isin,gvkeyiid,sec,mp_ls_weight,ls_weight,factor_weight,factor,style,name,count,style_ls_weight
103,2026-08-31,300450 CH Equity,CNE100001ZF9,31970601W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
104,2026-08-31,300487 CH Equity,CNE100002136,32002301W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
105,2026-08-31,300498 CH Equity,CNE100002508,32066801W,Consumer Staples,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
106,2026-08-31,300748 CH Equity,CNE100003G83,32845801W,Industrials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
107,2026-08-31,300750 CH Equity,CNE100003662,32741501W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
108,2026-08-31,300759 CH Equity,CNE100003JW4,33165401W,Health Care,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
109,2026-08-31,300760 CH Equity,CNE100003G67,32896601W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
110,2026-08-31,300765 CH Equity,CNE100003K04,33129401W,Health Care,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
111,2026-08-31,300832 CH Equity,CNE100003T39,33837401W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
112,2026-08-31,300896 CH Equity,CNE100004868,34019201W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
113,2026-08-31,300919 CH Equity,CNE1000049X9,34607201W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
114,2026-08-31,301358 CH Equity,CNE100005YS6,35566601W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
115,2026-08-31,600000 CH Equity,CNE0000011B7,24382901W,Financials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
116,2026-08-31,600009 CH Equity,CNE000000V89,24363201W,Industrials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
117,2026-08-31,600011 CH Equity,CNE000001998,03074702W,Utilities,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
118,2026-08-31,600015 CH Equity,CNE000001FW7,26001001W,Financials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
119,2026-08-31,600016 CH Equity,CNE0000015Y0,24948201W,Financials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
120,2026-08-31,600019 CH Equity,CNE0000015R4,24947901W,Materials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
121,2026-08-31,600023 CH Equity,CNE100001SP3,31693701W,Utilities,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
122,2026-08-31,600026 CH Equity,CNE000001BD6,21175902W,Energy,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
123,2026-08-31,600027 CH Equity,CNE000001LJ2,23602502W,Utilities,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
124,2026-08-31,600028 CH Equity,CNE0000018G1,14075602W,Energy,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
125,2026-08-31,600029 CH Equity,CNE000001FG0,20580902W,Industrials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
